EVTNAME91;;;;;;;;;;;;;x
british_colony_purchase_title;British Colony Purchase;;;;Comprar colonias británicas;;;;;;;;x
exploration_mission_desc;The tokugawa clan refuses to leave the island, for them, anything that comes from outside is bad and they think that we have enough resources within our borders. We must carry out an expedition in search of unique resources that we cannot find on the island and thus prove how wrong they are.;;;;El clan tokugawa se niega a salir de la isla, para ellos, todo lo que venga de fuera es malo y creen que tenemos suficientes recursos dentro de nuestras fronteras. Debemos realizar una expedición en busca de recursos únicos que no podemos encontrar en la isla y así demostrar lo equivocados que están.;;;;;;;;x
the_main_daymio_ryu_title;The main daimyo;;;;El Daimyo principal;;;;;;;;x
the_main_daymio_ryu_desc;The heads of the clans have shown loyalty to the emperor and organize to decide how to act against Tokugawa, even so, it remains to decide who will be the central axis of the alliance.\n A good way to decide this will be by showing which is the most powerful daimyo.;;;;Los jefes de los clanes han mostrado lealtad al emperador y se organizan para decidir cómo actuar contra Tokugawa, aún así, queda por decidir quién será el eje central de la alianza.\n Una buena forma de decidir esto será mostrando cuál es el daimyo más poderoso.;;;;;;;;x
the_main_daymio_mou_title;The main daimyo;;;;El Daimyo principal;;;;;;;;x
the_main_daymio_mou_desc;The heads of the clans have shown loyalty to the emperor and organize to decide how to act against Tokugawa, even so, it remains to decide who will be the central axis of the alliance.\n A good way to decide this will be by showing which is the most powerful daimyo.;;;;Los jefes de los clanes han mostrado lealtad al emperador y se organizan para decidir cómo actuar contra Tokugawa, aún así, queda por decidir quién será el eje central de la alianza.\n Una buena forma de decidir esto será mostrando cuál es el daimyo más poderoso.;;;;;;;;x
the_main_daymio_mae_title;The main daimyo;;;;El Daimyo principal;;;;;;;;x
the_main_daymio_mae_desc;The heads of the clans have shown loyalty to the emperor and organize to decide how to act against Tokugawa, even so, it remains to decide who will be the central axis of the alliance.\n A good way to decide this will be by showing which is the most powerful daimyo.;;;;Los jefes de los clanes han mostrado lealtad al emperador y se organizan para decidir cómo actuar contra Tokugawa, aún así, queda por decidir quién será el eje central de la alianza.\n Una buena forma de decidir esto será mostrando cuál es el daimyo más poderoso.;;;;;;;;x
the_main_daymio_dat_title;The main daimyo;;;;El Daimyo principal;;;;;;;;x
the_main_daymio_dat_desc;The heads of the clans have shown loyalty to the emperor and organize to decide how to act against Tokugawa, even so, it remains to decide who will be the central axis of the alliance.\n A good way to decide this will be by showing which is the most powerful daimyo.;;;;Los jefes de los clanes han mostrado lealtad al emperador y se organizan para decidir cómo actuar contra Tokugawa, aún así, queda por decidir quién será el eje central de la alianza.\n Una buena forma de decidir esto será mostrando cuál es el daimyo más poderoso.;;;;;;;;x
liberal_republic_title;A liberal republic;;;;Una república liberal;;;;;;;;x
liberal_republic_desc;Ezo is notable for being the first government to attempt to institute democracy in Japan, though voting was allowed only to the samurai caste. The Republic of Ezo existed for only 5 months.;;;;Ezo se destaca por ser el primer gobierno en intentar instituir la democracia en Japón, aunque solo se permitía votar a la casta samurái. La República de Ezo existió solo durante 5 meses.;;;;;;;;x
trade_with_france_title;Trade with France;;;;Comercio con Francia;;;;;;;;x
trade_with_france_desc;After the defeat of the forces of the Tokugawa shogunate in the Boshin War of the Meiji Restoration, a part of the former shogun's navy led by Admiral Enomoto Takeaki fled to the northern island of Ezo, together with several thousand soldiers and a handful of French military advisers and their leader, Jules Brunet.\n After that, relations between France and Ezo have only increased, reaching military and commercial agreements between both nations.;;;;Después de la derrota de las fuerzas del shogunato Tokugawa en la Guerra Boshin de la Restauración Meiji, una parte de la antigua armada del shogun liderada por el almirante Enomoto Takeaki huyó a la isla norteña de Ezo, junto con varios miles de soldados y un puñado de militares franceses asesores y su líder, Jules Brunet.\n Después de eso, las relaciones entre Francia y Ezo solo se han incrementado, llegando a acuerdos militares y comerciales entre ambas naciones.;;;;;;;;x
USCA_breaking_title;USCA is Breaking;;;;La RFCA está desmoronandose;;;;;;;;x
USCA_breaking_desc;The discomfort of the people through the country is making bigger and bigger and the nationalist feeling is rising.\n To supress this, we get negotiations with United Kingdom, maybe getting Belize makes people feel better.;;;;El malestar de la gente en todo el país se hace cada vez más grande y el sentimiento nacionalista está aumentando.\n Para reprimir esto, entablamos negociaciones con el Reino Unido, quizás conseguir Belice haga que la gente se sienta mejor.;;;;;;;;x
population_boom_title;Population Boom;;;;Boom Poblacional;;;;;;;;x
population_boom_desc;As technology and industry advance, the population acquires a higher liferating, at the same time, the population increases.\n Throughout the world the population has increased due to the advancement of civilization and comfort, and our nation is not out of the way.;;;;A medida que avanzan la tecnología y la industria, la población adquiere una tasa de vida más alta, al mismo tiempo, la población aumenta.\n En todo el mundo la población ha aumentado debido al avance de la civilización y la comodidad, y nuestra nación no se quedará fuera.;;;;;;;;x
Tripoli_won_title;Tripoli Won;;;;Tríplo Ganó;;;;;;;;x
Tripoli_won_desc;An incredible result has been archieved in North Africa, a great power has lost a war against an uncivilized nation, as David versus Goliath.\n Now, the whole world knows about this Tripolitan success, our nation rises in glory and at the same time, the Ottoman Empire lies in the ground, the 'sick man' of Europe is falling.;;;;Se ha obtenido un resultado increíble en el norte de África, una gran potencia ha perdido una guerra contra una nación incivilizada, como David contra Goliat.\n Ahora, el mundo entero conoce este éxito tripolitano, nuestra nación se eleva en gloria y al mismo tiempo, el Imperio Otomano yace en el suelo, el 'enfermo' de Europa está cayendo.;;;;;;;;x
unite_cono_sur_title;Unite Cono Sur Provinces;;;;Unir las Provincias del Cono Sur;;;;;;;;x
unite_cono_sur_desc;The nations which were once part of the Viceroyalty of La Plata must be reunited under a single flag once again, a new and modern nation, the platinean and south andean peoples bound together into a great ntion, a power to rule in the New World.;;;;Las naciones que alguna vez fueron parte del Virreinato de La Plata deben reunirse bajo una sola bandera una vez más, una nación nueva y moderna, los pueblos platineano y sur andino unidos en una gran nación, un poder para gobernar en el Nuevo Mundo.;;;;;;;;x
triple_alianza_war_pre_title;Making a Bigger Paraguay;;;;Hacer un Paraguay más Grande;;;;;;;;x
triple_alianza_war_pre_desc;With the recent territory gained, we are ready to invest to help our people. If we want to be the greatest nation in America we need a big population, so, spending some money in life rating is the best way.;;;;Con el territorio ganado recientemente, estamos dispuestos a invertir para ayudar a nuestra gente. Si queremos ser la nación más grande de América, necesitamos una gran población, por lo que gastar algo de dinero en calificación de vida es la mejor manera.;;;;;;;;x
triple_alianza_war_third_title;Venacio Flores Convention;;;;Convención de Venacio Flores;;;;;;;;x
triple_alianza_war_third_desc;Due to the invasion from Brazil against Uruguay, the Blanco's party had to yield to Brazilian demands, the leader of Colorado's party, Venacio Flores, has taken the presidency of Uruguay and has celebrated a convention to deal with the Paraguayan issue.;;;;Debido a la invasión de Brasil contra Uruguay, el partido Blanco tuvo que ceder a las demandas brasileñas, el líder del partido Colorado, Venacio Flores, ha tomado la presidencia de Uruguay y ha celebrado una convención para tratar el tema paraguayo.;;;;;;;;x
triple_alianza_running_title;Battle of Tuyuti;;;;Batalla de Tuyutí;;;;;;;;x
triple_alianza_running_desc;The war of the Triple Alliance is advancing on a bloody path. Paraguayan forces establish a strong defense in Tuyuti, the cholera-sick Brazilians have infected both, allies and enemies, in the front line, meanwhile, the Bolivian government can take advantage of the situation and regain the territory of the province of Alto.;;;;La guerra de la Triple Alianza avanza por un camino sangriento. Las fuerzas paraguayas establecen una fuerte defensa en Tuyuti, los brasileños enfermos de cólera han infectado tanto aliados como enemigos en la línea del frente, mientras tanto, el gobierno boliviano puede aprovechar la situación y recuperar el territorio de la provincia de Alto.;;;;;;;;x
triple_alianza_end_title;The reconstruction after the war;;;;Reconstrucción despues de la guerra;;;;;;;;x
triple_alianza_end_desc;The war is over but the wound still open, suporting our people ideologies is the best way for now.\n Liberal sentiments are getting stronger marking a new way for the future of the South American governments, but, the war memories and crimes will be always with us.;;;;La guerra terminó pero la herida sigue abierta, apoyar las ideologías de nuestro pueblo es la mejor manera por ahora.\n Los sentimientos liberales se están fortaleciendo marcando un nuevo camino para el futuro de los gobiernos sudamericanos, pero los recuerdos de guerra y los crímenes serán siempre con nosotros.;;;;;;;;x
unite_peru_title;Restore Peru;;;;Restaura el Perú;;;;;;;;x
unite_peru_desc;At the late War of Confederation, Chilean-Peruvian forces of the so-called Restorative Army led by General Manuel Bulnes, obtain a decisive victory in the battle of Yungay in 1839 while Andrés de Santa Cruz had been overthrown from the post of President of Bolivia by general José Miguel de Velasco who betrayed him before knowing the result of the battle. At the same time the general José Ballivián leaving the battlefield and mutinied in La Paz along with Bolivian reserve battalions. Also Colonel Guilarte, who had 700 soldiers in command, had abandoned his position and deserted without firing any shots. This battle caused the dissolution of the Peru-Bolivian Confederation, the exile of Santa Cruz, the restoration of Peru and Bolivia, among other consequences.;;;;Al final de la Guerra de Confederación, las fuerzas chileno-peruanas del llamado Ejército Restaurador lideradas por el general Manuel Bulnes, obtienen una victoria decisiva en la batalla de Yungay en 1839 mientras Andrés de Santa Cruz había sido derrocado del cargo de presidente de Bolivia por el general José Miguel de Velasco quien lo traicionó antes de conocer el resultado de la batalla. Al mismo tiempo, el general José Ballivián abandona el campo de batalla y se amotina en La Paz junto a los batallones de reserva bolivianos. También el coronel Guilarte, que tenía 700 soldados al mando, había abandonado su puesto y desertado sin hacer ningún disparo. Esta batalla provocó la disolución de la Confederación Perú-Bolivia, el exilio de Santa Cruz, la restauración de Perú y Bolivia, entre otras consecuencias.;;;;;;;;x
protect_the_galapagos;Protection of the Galapagos;;;;Protección a las Galapagos;;;;;;;;x
protect_the_galapagos_desc;The Galapagos Islands are a unique place on the planet, where we can study the species and that has been very useful for naturists like Charles Darwin. Therefore, establishing their protection should be a priority for future investigations.;;;;Las Islas Galápagos son un lugar unico en el planeta, donde podemos estudiar las especies y que ha sido de gran utilidad para naturistas como Charles Darwin. Por lo tanto, establecer su protección debe ser prioridad para futuras investigaciones.;;;;;;;;x
texan_legacy_title;The Texan Final Legacy;;;;El Legado Final de los Texanos;;;;;;;;x
texan_legacy_desc;After the appointment of James Polk as president of the United States, his insistence on the territory of Texas has been constant. Polk insists that the Texas territory belongs to the United States by right and has asked the Senate to carry out a military expedition against Mexico, this request has been rejected more than once.\n However, Polk has not given up on his goal of expanding the nation, so he has decided to perform a casus belli on his own. He has sent a military contingent to the city of San Antonio, and dressed in Mexican military uniforms they have murdered local Texans and Americans. After this event, which Mexico has strongly denied that was carried out by its soldiers, even presenting evidence, Polk has declared to the United States Senate: 'the Mexican military has shed American blood' and so, this time, Polk has got approval for the declaration of war.;;;;Tras el nombramiento de James Polk como presidente de los Estados Unidos, la insistencia de este sobre el territorio de Texas ha sido constante. Polk insiste que el territorio texano le pertenece a Estados Unidos por derecho y ha pedido al senado el realizar una expedición militar contra México, esta solicitud ha sido rechazada en más de una vez.\n No obstante, Polk no ha cedido en su objetivo de expandir la nación, por lo que este ha decidido realizar un casus belli por su cuenta. Ha enviado un contingente militar a la ciudad de San Antonio, y vestidos con uniformes militares mexicanos han asesinado ciudadanos texanos y estadounidenses locales. Después de este suceso, el cual México ha negado fuertemente que haya sido realizado por sus soldados, incluso presentando pruebas, Polk ha declarado al senado de los Estados Unidos: ‘los militares mexicanos han derramado sangre estadounidense’ y así, esta vez, Polk ha conseguido la aprobación para la declaración de guerra.;;;;;;;;x
tripolitan_miracle_title;Tripolitan Miracle;;;;El Milagro Tripolitano;;;;;;;;x
tripolitan_miracle_desc;By recovering Tripoli, the academics there have also been freed and now restart their studies.;;;;Al recuperar Trípoli, los académicos allí también se han liberado y ahora reinician sus estudios.;;;;;;;;x
liberate_liberia_title;Liberate Liberia;;;;Liberar Liberia;;;;;;;;x
liberate_liberia_desc;The freed slave colony in Africa is fully functional and self-sufficient, it's time for the promised land to be completely freed.;;;;La colonia de esclavos liberados en África es completamente funcional y autosuficiente, es hora de que la tierra prometida sea completamente libre.;;;;;;;;x
form_indonesia_title;Form Indonesia;;;;Forma Indonesia;;;;;;;;x
form_indonesia_desc;After 3 centuries of Dutch colonialism of the Indonesian islands, the region was invaded by Japan during the WWII, ending with the domain of Netherlands. Due this, the nationalism and independence sentiments of Indoneasia got stronger and finally, after the WWII ends, on 1945, Indonesia declare it's independence.;;;;Después de 3 siglos de colonialismo holandés de las islas de Indonesia, la región fue invadida por Japón durante la Segunda Guerra Mundial, terminando con el dominio de los Países Bajos. Debido a esto, los sentimientos de nacionalismo e independencia de Indonesia se hicieron más fuertes y finalmente, después de que terminó la Segunda Guerra Mundial, en 1945, Indonesia declaró su independencia.;;;;;;;;x
form_yugoslavia_title;Unite Yugoslavia;;;;Une Yugoslavia;;;;;;;;x
form_yugoslavia_desc;After wars and wars and wars between the slavic countries, and the occupation of these by the Great Powers, we are free and we have the dream to unite all slavic people under one flag. United we will finally get the respect of Europe and the land that belongs to us by law, this is the born of Yugoslavia;;;;Después de guerras y guerras y más guerras entre los países eslavos, y la ocupación de estos por las grandes potencias, somos libres y tenemos el sueño de unir a todos los pueblos eslavos bajo una bandera. Unidos finalmente conseguiremos el respeto de Europa y la tierra que nos pertenece por derecho, esto es el nacido de Yugoslavia.;;;;;;;;x
unite_iberia_title;Unite Iberia;;;;Une Iberia;;;;;;;;x
unite_iberia_desc;The Iberian Union was the dynastic union of the Kingdom of Spain and the Kingdom of Portugal under the Spanish Crown that existed between 1580 and 1640, and which brought the entire Iberian Peninsula, as well as Portuguese overseas possessions, under the Spanish Habsburg kings.\n The union began following the Portuguese crisis of succession and the ensuing War of the Portuguese Succession, and lasted until the Portuguese Restoration War in which the House of Braganza was established as Portugal's new ruling dynasty.;;;;La Unión Ibérica fue la unión dinástica del Reino de España y el Reino de Portugal bajo la Corona española que existió entre 1580 y 1640, y que trajo toda la Península Ibérica, así como las posesiones portuguesas de ultramar, bajo los reyes Habsburgo españoles.\n La unión comenzó tras la crisis de sucesión portuguesa y la consiguiente Guerra de Sucesión portuguesa, y duró hasta la Guerra de Restauración portuguesa en la que se estableció la Casa de Braganza como la nueva dinastía gobernante de Portugal.;;;;;;;;x
unite_baltic_pro_title;Unite the Baltic Provinces;;;;Unir las Provincias Bálticas;;;;;;;;x
unite_baltic_pro_desc;The United Baltic Duchy, also known as the Grand Duchy of Livonia, was a state proposed by the Baltic German nobility and exiled Russian nobility after the Russian Revolution and German occupation of the Courland, Livonian, and Estonian governorates of the Russian Empire. It was proposed in April 1918, after Estonia and Latvia had formally declared independence.\n The idea comprised the lands in Estonia and Latvia and included the creation of a Duchy of Courland and Semigallia and a Duchy of Estonia and Livonia that would be in personal union with the Crown of Prussia under the German Empire's occupied territory before the end of World War I covering the territories of the Medieval Livonia in what are now Latvia and Estonia.;;;;El Ducado Unido del Báltico, también conocido como el Gran Ducado de Livonia, fue un estado propuesto por la nobleza alemana del Báltico y la nobleza rusa exiliada después de la Revolución Rusa y la ocupación alemana de las gobernaciones de Curlandia, Livonia y Estonia del Imperio Ruso.\n Se propuso en abril de 1918, después de que Estonia y Letonia declararan formalmente su independencia.\n La idea comprendía las tierras de Estonia y Letonia e incluía la creación de un Ducado de Curlandia y Semigallia y un Ducado de Estonia y Livonia que sería unión personal con la Corona de Prusia bajo el territorio ocupado por el Imperio Alemán antes del final de la Primera Guerra Mundial cubriendo los territorios de la Livonia medieval en lo que ahora son Letonia y Estonia.;;;;;;;;x
unite_poland_lit_title;Form Poland-Lithuania;;;;Forma Polonia-Lituania;;;;;;;;x
unite_poland_lit_desc;The Polish–Lithuanian Commonwealth, was a country and bi-federation of Poland and Lithuania ruled by a common monarch in real union, who was both King of Poland and Grand Duke of Lithuania.\n It was one of the largest and most populous countries of  Europe between the 16th and 17th centuries. At its largest territorial extent, in the early 17th century, the Commonwealth covered almost 1,000,000 square kilometres and as of 1618 sustained a multi-ethnic population of almost 12 million. Polish and Latin were the two co-official languages.;;;;La Mancomunidad de Polonia-Lituania, era un país y bi-federación de Polonia y Lituania gobernados por un monarca común en unión real, que era a la vez rey de Polonia y Gran Duque de Lituania.\n Fue uno de los países más grandes y más pobladas de Europa entre los siglos XVI y XVII. En su mayor extensión territorial, a principios del siglo XVII, la Mancomunidad cubría casi 1.000.000 de kilómetros cuadrados y en 1618 sostenía una población multiétnica de casi 12 millones. El polaco y el latín eran los dos idiomas co-oficiales.;;;;;;;;x
anex_to_poland_player_title;Unite to Poland;;;;Unirse a Polonia;;;;;;;;x
anex_to_poland_player_desc;As a free city and remnant of the Duchy of Warsaw, and now with the existence of Poland, the idea of uniting with the rest of the country to which we culturally belong is the best option we can take.;;;;Como ciudad libre y remanente del Ducado de Varsovia, y ahora con la existencia de Polonia, la idea de unirnos con el resto del país al que culturalmente pertenecemos es la mejor opción que podemos tomar.;;;;;;;;x
anex_to_poland_pol_title;Annex Krakow;;;;Anexar Cracovia;;;;;;;;x
anex_to_poland_pol_desc;With the reinstated Republic of Poland, we must begin to recover the Polish peoples that are outside our borders, the first step will be the annexation of the free city of Krakow, with which we have very good relations and who have voluntarily asked us to join.;;;;Con la reinstalación de la República de Polonia, debemos comenzar a recuperar a los pueblos polacos que se encuentran fuera de nuestras fronteras, el primer paso será la anexión de la ciudad libre de Cracovia, con la que tenemos muy buenas relaciones y que voluntariamente nos han pedido sumarlos.;;;;;;;;x
unite_czechos_title;Unite Czechoslovakia;;;;Une Checoslovaquia;;;;;;;;x
unite_czechos_desc;Czechoslovakia was a sovereign state in Central Europe that existed from October 1918, when it declared its independence from the Austro-Hungarian Empire, until its peaceful dissolution into the Czech Republic and Slovakia on 1 January 1993.\n It consisted of the present day territories of Bohemia, Moravia, Slovakia and Carpathian Ruthenia. Its territory included some of the most industrialized regions of the former Austria-Hungary.;;;;Checoslovaquia fue un estado soberano en Europa Central que existió desde octubre de 1918, cuando declaró su independencia del Imperio Austro-Húngaro, hasta su disolución pacífica en la República Checa y Eslovaquia el 1 de enero de 1993.\n Consistía en los territorios actuales de Bohemia, Moravia, Eslovaquia y Rutenia de los Cárpatos. Su territorio incluía algunas de las regiones más industrializadas de la antigua Austria-Hungría.;;;;;;;;x
austriahungary_union_title;Austria-Hungary Personal Union;;;;Unión Personal de Austria-Hungría;;;;;;;;x
austriahungary_union_desc;Austria-Hungary was a constitutional monarchy and great power in Central Europe between 1867 and 1918. It was formed with the Austro-Hungarian Compromise of 1867 and was dissolved following its defeat in the First World War.\n It was a real union between two monarchies, Austrian Empire and the Kingdom of Hungary. A third component of the union was the Kingdom of Croatia-Slavonia, an autonomous region under the Hungarian crown, which negotiated the Croatian-Hungarian Settlement in 1868.;;;;;;;;;;;;x
unite_romania_sie_title;Unite Romania;;;;;;;;;;;;x
unite_romania_sie_desc;With our current power and influence, and with the Duchies of Wallachia and Moldavia free, we can unify them under our flag and unite all the Romanian peoples.;;;;;;;;;;;;x
become_tanzania_title;Become Tanzania;;;;;;;;;;;;x
become_tanzania_desc;German rule began in mainland Tanzania during the late 19th century when Germany formed German East Africa. This was followed by British rule after World War I. The mainland was governed as Tanganyika, with the Zanzibar Archipelago remaining a separate colonial jurisdiction. Following their respective independence in 1961 and 1963, the two entities merged in 1964 to form the United Republic of Tanzania. The countries had joined the British Commonwealth in 1961 and Tanzania is still a member of the Commonwealth as one republic nowadays.;;;;;;;;;;;;x
anex_to_tanzania_player_title;Unite to Tanzania;;;;;;;;;;;;x
anex_to_tanzania_player_desc;With the existence of Tanzania, and its potential greater than ours, the option of joining us as a state of the republic resonates with great force, our security will be better protected if we are part of a larger nation.;;;;;;;;;;;;x
anex_to_tanzania_tan_title;Annex Zanzibar;;;;;;;;;;;;x
anex_to_tanzania_tan_desc;Historicaly, Zanzibar gained independence from Britain in December 1963 as a constitutional monarchy. A month later, the bloody Zanzibar Revolution, in which several thousand Arabs and Indians were killed and thousands more expelled and expropriated, led to the Republic of Zanzibar and Pemba. That April, the republic merged with the mainland Tanganyika, or more accurately, was subsumed into Tanzania, of which Zanzibar remains a semi-autonomous region.;;;;Austria-Hungría fue una monarquía constitucional y una gran potencia en Europa Central entre 1867 y 1918. Se formó con el Compromiso Austro-Húngaro de 1867 y se disolvió tras su derrota en la Primera Guerra Mundial.\n Fue una unión real entre dos monarquías, Imperio austríaco y Reino de Hungría. Un tercer componente de la unión fue el Reino de Croacia-Eslavonia, una región autónoma bajo la corona húngara, que negoció el Acuerdo croata-húngaro en 1868.;;;;;;;;x
form_tukulor_title;Form Tukulor Empire;;;;Formar el Imperio Tucolor;;;;;;;;x
form_tukulor_desc;The Toucouleur Empire, also known as the Segu Tukulor, 1861-1890, was founded by Omar Saidou Tall, in part of present-day Mali.\n Omar Tall returned from the Hajj in 1836 with the titles of El Hadj and caliph of the Tijaniyya brotherhood of the Sudan. After a long stay in Fouta Toro, he moved to the east of Fouta Djallon. This became the staging ground for his 1850 jihad.\n After his assault on the French colonial army, Omar Tall struck out against the Bambara Empire with much greater success. Following a decisive victory in the Battle of Segou on March 10, 1861, he made Segou the capital of his empire. A year later he left its management to his son Ahmadu Tall to move against Hamdullahi, the capital of the Fula empire of Massina.;;;;El Imperio Toucouleur, también conocido como Segu Tukulor, 1861-1890, fue fundado por Omar Saidou Tall, en parte de la actual Malí.\n Omar Tall regresó del Hajj en 1836 con los títulos de El Hadj y califa del Hermandad Tijaniyya del Sudán. Tras una larga estancia en Fouta Toro, se trasladó al este de Fouta Djallon. Este se convirtió en el escenario de su jihad de 1850.\n Después de su asalto al ejército colonial francés, Omar Tall atacó al Imperio Bambara con mucho mayor éxito. Tras una victoria decisiva en la batalla de Segou el 10 de marzo de 1861, convirtió a Segou en la capital de su imperio. Un año más tarde dejó su gestión a su hijo Ahmadu Tall para actuar contra Hamdullahi, la capital del imperio Fula de Massina.;;;;;;;;x
form_somalia_title;Form Somalia;;;;Forma Somalia;;;;;;;;x
form_somalia_desc;In the late 19th century, Somalia was colonized by Italy. The Italians established the colony of Italian Somaliland.\n Italy acquired full control of the northeastern, central, and southern parts of the area after successfully waging the Campaign of the Sultanates against the ruling Majeerteen Sultanate and Sultanate of Hobyo. In 1960, the two territories united to form the independent Somali Republic under a civilian government.;;;;A finales del siglo XIX, Somalia fue colonizada por Italia. Los italianos establecieron la colonia de la Somalilandia italiana.\n Italia adquirió el control total de las partes noreste, central y sur del área después de llevar a cabo con éxito la Campaña de los Sultanatos contra el gobernante Sultanato Majeerteen y el Sultanato de Hobyo. En 1960, los dos territorios se unieron para formar la República de Somalia independiente bajo un gobierno civil.;;;;;;;;x
become_the_true_india_title;Become the True India;;;;Convertirse en la Verdadera India;;;;;;;;x
become_the_true_india_desc;With our rise to Great Power, we can begin to influence the region of India and unite all peoples under our flag, a flag of a new nation that will finally free us from British control.;;;;Con nuestro ascenso a Gran Potencia, podemos comenzar a influir en la región de la India y unir a todos los pueblos bajo nuestra bandera, una bandera de una nueva nación que finalmente nos liberará del control británico.;;;;;;;;x
cuban_freedom_title;Cuban Freedom;;;;Libertad Cubana;;;;;;;;x
cuban_freedom_desc;Centuries under Spain's control have passed and now, we are finally a free country. The next step, break the chains of the influence of the outsiders and their demands over our lands.;;;;Han pasado siglos bajo el control de España y ahora, por fin, somos un país libre. El siguiente paso, romper las cadenas de la influencia de los forasteros y sus demandas sobre nuestras tierras.;;;;;;;;x
the_warlord_title;The Warlord;;;;El Señor de la Guerra;;;;;;;;x
the_warlord_desc;After the world saw our displays of military power, diplomatic dominance and naval force, we have obtained a historical title with wich we will be recognized for centuries.\n The title of Warlord is worthy of who will conquer the world.;;;;Después de que el mundo viera nuestras demostraciones de poder militar, dominio diplomático y fuerza naval, hemos obtenido un título histórico con el que seremos reconocidos durante siglos.\n El título de Señor de la Guerra es digno de quien conquistará el mundo.;;;;;;;;x
the_developer_title;The Developer;;;;El Desarrollador;;;;;;;;x
the_developer_desc;Our nation has earned the recognition of having the best scientists and academics in the world. Our technological archievements and inventions have taken humanity one step further in evolution.\n The title The Developer certainly descibes us very well.;;;;Nuestra nación se ha ganado el reconocimiento de tener los mejores científicos y académicos del mundo. Nuestros logros e invenciones tecnológicas han llevado a la humanidad un paso más allá en la evolución.\n El título El desarrollador ciertamente nos describe muy bien.;;;;;;;;x
commerce_center_title;The Commerce Point;;;;El Punto de Comercio;;;;;;;;x
commerce_center_desc;The strategic points under our control have allowed us to control a huge section of the world economic flow, in addition to the fact that our relations with the rest of the world and allies make us their main supplier and client.\n Our commercial power has earned us the title of The Commerce Point.;;;;Los puntos estratégicos bajo nuestro control nos han permitido controlar una gran parte del flujo económico mundial, además de que nuestras relaciones con el resto del mundo y aliados nos convierten en su principal proveedor y cliente.\n Nuestro poder comercial ha nos ganó el título de Punto de Comercio.;;;;;;;;x
tyrannical_decisions_title;Tyrannical Decisions;;;;Decisiones Tiránicas;;;;;;;;x
tyrannical_decisions_desc;The situacion is really bad, our country will not survive to the war state if we don't take an ultimate and final decision.\n Leader, we need to take all the people's goods and recover our government head, even if some people die, we need to keep the upper house healthy and our army strong, they must die for us!;;;;La situación es realmente mala, nuestro país no sobrevivirá al estado de guerra si no tomamos una decisión final y definitiva.\n Debemos tomar todos los bienes de la gente y recuperar la cabeza de nuestro gobierno, incluso si algunas personas mueren , necesitamos mantener la cámara alta saludable y nuestro ejército fuerte, ¡deben morir por nosotros!;;;;;;;;x
conscription_system_on_title;Conscription System;;;;Sistema de Conscriptos;;;;;;;;x
conscription_system_on_desc;Military service or conscription is the development of military activity by a person, obligatory in some countries and voluntary in others. In some cases, the activity is remunerated and in other cases it is not.\n For centuries it has been a very useful tool for nations to face international warfare and to defend their territory, although the economic blow from employing adults for this purpose it is high.;;;;El servicio militar o conscripción es el desarrollo de la actividad militar por una persona, de manera obligatoria en algunos países y voluntaria en otros. En algunos casos, la actividad es remunerada y en otros casos no.\n Durante siglos ha sido una herramienta my util para las naciones para hacer frente a conflictos belicos internacionales y en la defensa de su territorio, aunque el golpe economico al emplear personas adultas para este proposito es alto.;;;;;;;;x
child_work_on_title;Allow child labour;;;;Permitir trabajo infantil;;;;;;;;x
child_work_on_desc;Child labour refers to the exploitation of children through any form of work that deprives children of their childhood, interferes with their ability to attend regular school, and is mentally, physically, socially and morally harmful.\n Child labour forms an intrinsic part of pre-industrial economies. In pre-industrial societies, there is rarely a concept of childhood in the modern sense. Children often begin to actively participate in activities such as child rearing, hunting and farming as soon as they are competent.;;;;El trabajo infantil se refiere a la explotación de los niños a través de cualquier forma de trabajo que priva a los niños de su infancia, interfiere con su capacidad para asistir a la escuela regular y es mental, física, social y moralmente dañina.\n El trabajo infantil es una parte intrínseca de las economías pre-industriales. En las sociedades pre-industriales, rara vez existe un concepto de infancia en el sentido moderno. Los niños a menudo comienzan a participar activamente en actividades como la crianza, la caza y la agricultura tan pronto como son competentes.;;;;;;;;x
stop_child_labor_title;Stop the child labour;;;;Detener el trabajo infantil;;;;;;;;x
stop_child_labor_desc;Concerns have often been raised over the buying public's moral complicity in purchasing products assembled or otherwise manufactured in developing countries with child labour. However, others have raised concerns that boycotting products manufactured through child labour may force these children to turn to more dangerous or strenuous professions, such as prostitution or agriculture.\n The necessity the focus on the education of our population is one of the biggest reason to stop the child labour.;;;;A menudo se ha expresado preocupación por la complicidad moral del público comprador en la compra de productos ensamblados o fabricados de otro modo en países en desarrollo con trabajo infantil. Sin embargo, otros han expresado su preocupación de que el boicot de los productos fabricados mediante el trabajo infantil pueda obligar a estos niños a dedicarse a profesiones más peligrosas o extenuantes, como la prostitución o la agricultura.\n La necesidad de enfocarnos en la educación de nuestra población es una de las principales razones para detener el trabajo infantil.;;;;;;;;x
form_uganda_title;Form Uganda;;;;Formar Uganda;;;;;;;;x
form_uganda_desc;We have unify all baganda nations under a unique flag, our people and our lands now is part of a bigger nation.;;;;Hemos unificado todas las naciones baganda bajo una bandera única, nuestra gente y nuestras tierras ahora son parte de una nación más grande.;;;;;;;;x
form_malaysia_title;Form Malaysia;;;;Formar Malasia;;;;;;;;x
